From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.50 MFlops  0.000002000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :      100.00 MFlops  0.000001000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :         inf MFlops  0.000000000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :         inf MFlops  0.000000000 sec
     25 :         inf MFlops  0.000000000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :         inf MFlops  0.000000000 sec
     28 :         inf MFlops  0.000000000 sec
     29 :         inf MFlops  0.000000000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :         inf MFlops  0.000000000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :         inf MFlops  0.000000000 sec
     34 :         inf MFlops  0.000000000 sec
     35 :         inf MFlops  0.000000000 sec
     36 :         inf MFlops  0.000000000 sec
     37 :         inf MFlops  0.000000000 sec
     38 :         inf MFlops  0.000000000 sec
     39 :         inf MFlops  0.000000000 sec
     40 :         inf MFlops  0.000000000 sec
     41 :         inf MFlops  0.000000000 sec
     42 :         inf MFlops  0.000000000 sec
     43 :         inf MFlops  0.000000000 sec
     44 :         inf MFlops  0.000000000 sec
     45 :         inf MFlops  0.000000000 sec
     46 :         inf MFlops  0.000000000 sec
     47 :         inf MFlops  0.000000000 sec
     48 :         inf MFlops  0.000000000 sec
     49 :     2401.00 MFlops  0.000001000 sec
     50 :         inf MFlops  0.000000000 sec
     51 :     2601.00 MFlops  0.000001000 sec
     52 :         inf MFlops  0.000000000 sec
     53 :         inf MFlops  0.000000000 sec
     54 :         inf MFlops  0.000000000 sec
     55 :         inf MFlops  0.000000000 sec
     56 :     3136.00 MFlops  0.000001000 sec
     57 :     3249.00 MFlops  0.000001000 sec
     58 :         inf MFlops  0.000000000 sec
     59 :         inf MFlops  0.000000000 sec
     60 :         inf MFlops  0.000000000 sec
     61 :     3721.00 MFlops  0.000001000 sec
     62 :         inf MFlops  0.000000000 sec
     63 :         inf MFlops  0.000000000 sec
     64 :         inf MFlops  0.000000000 sec
     65 :         inf MFlops  0.000000000 sec
     66 :         inf MFlops  0.000000000 sec
     67 :         inf MFlops  0.000000000 sec
     68 :     4624.00 MFlops  0.000001000 sec
     69 :         inf MFlops  0.000000000 sec
     70 :         inf MFlops  0.000000000 sec
     71 :         inf MFlops  0.000000000 sec
     72 :         inf MFlops  0.000000000 sec
     73 :         inf MFlops  0.000000000 sec
     74 :         inf MFlops  0.000000000 sec
     75 :         inf MFlops  0.000000000 sec
     76 :         inf MFlops  0.000000000 sec
     77 :         inf MFlops  0.000000000 sec
     78 :         inf MFlops  0.000000000 sec
     79 :     6241.00 MFlops  0.000001000 sec
     80 :     6400.00 MFlops  0.000001000 sec
     81 :         inf MFlops  0.000000000 sec
     82 :     6724.00 MFlops  0.000001000 sec
     83 :         inf MFlops  0.000000000 sec
     84 :     7056.00 MFlops  0.000001000 sec
     85 :     7225.00 MFlops  0.000001000 sec
     86 :         inf MFlops  0.000000000 sec
     87 :         inf MFlops  0.000000000 sec
     88 :         inf MFlops  0.000000000 sec
     89 :         inf MFlops  0.000000000 sec
     90 :         inf MFlops  0.000000000 sec
     91 :         inf MFlops  0.000000000 sec
     92 :     8464.00 MFlops  0.000001000 sec
     93 :         inf MFlops  0.000000000 sec
     94 :         inf MFlops  0.000000000 sec
     95 :     9025.00 MFlops  0.000001000 sec
     96 :     9216.00 MFlops  0.000001000 sec
     97 :         inf MFlops  0.000000000 sec
     98 :     9604.00 MFlops  0.000001000 sec
     99 :     9801.00 MFlops  0.000001000 sec
    100 :    10000.00 MFlops  0.000001000 sec
    101 :    10201.00 MFlops  0.000001000 sec
    102 :         inf MFlops  0.000000000 sec
    103 :         inf MFlops  0.000000000 sec
    104 :    10816.00 MFlops  0.000001000 sec
    105 :    11025.00 MFlops  0.000001000 sec
    106 :    11236.00 MFlops  0.000001000 sec
    107 :    11449.00 MFlops  0.000001000 sec
    108 :    11664.00 MFlops  0.000001000 sec
    109 :    11881.00 MFlops  0.000001000 sec
    110 :         inf MFlops  0.000000000 sec
    111 :         inf MFlops  0.000000000 sec
    112 :         inf MFlops  0.000000000 sec
    113 :    12769.00 MFlops  0.000001000 sec
    114 :    12996.00 MFlops  0.000001000 sec
    115 :    13225.00 MFlops  0.000001000 sec
    116 :         inf MFlops  0.000000000 sec
    117 :    13689.00 MFlops  0.000001000 sec
    118 :    13924.00 MFlops  0.000001000 sec
    119 :         inf MFlops  0.000000000 sec
    120 :    14400.00 MFlops  0.000001000 sec
    121 :    14641.00 MFlops  0.000001000 sec
    122 :    14884.00 MFlops  0.000001000 sec
    123 :    15129.00 MFlops  0.000001000 sec
    124 :    15376.00 MFlops  0.000001000 sec
    125 :    15625.00 MFlops  0.000001000 sec
    126 :    15876.00 MFlops  0.000001000 sec
    127 :         inf MFlops  0.000000000 sec
    128 :         inf MFlops  0.000000000 sec
    129 :    16641.00 MFlops  0.000001000 sec
    130 :    16900.00 MFlops  0.000001000 sec
    131 :    17161.00 MFlops  0.000001000 sec
    132 :    17424.00 MFlops  0.000001000 sec
    133 :    17689.00 MFlops  0.000001000 sec
    134 :     8978.00 MFlops  0.000002000 sec
    135 :    18225.00 MFlops  0.000001000 sec
