From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops   0.000000 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :       98.00 MFlops   0.000001 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :         inf MFlops   0.000000 sec
     24x24 :     1152.00 MFlops   0.000001 sec
     25x25 :     1250.00 MFlops   0.000001 sec
     26x26 :         inf MFlops   0.000000 sec
     27x27 :         inf MFlops   0.000000 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :         inf MFlops   0.000000 sec
     31x31 :         inf MFlops   0.000000 sec
     32x32 :         inf MFlops   0.000000 sec
     33x33 :         inf MFlops   0.000000 sec
     34x34 :         inf MFlops   0.000000 sec
     35x35 :     2450.00 MFlops   0.000001 sec
     36x36 :         inf MFlops   0.000000 sec
     37x37 :         inf MFlops   0.000000 sec
     38x38 :         inf MFlops   0.000000 sec
     39x39 :     3042.00 MFlops   0.000001 sec
     40x40 :         inf MFlops   0.000000 sec
     41x41 :         inf MFlops   0.000000 sec
     42x42 :         inf MFlops   0.000000 sec
     43x43 :     3698.00 MFlops   0.000001 sec
     44x44 :     3872.00 MFlops   0.000001 sec
     45x45 :         inf MFlops   0.000000 sec
     46x46 :         inf MFlops   0.000000 sec
     47x47 :         inf MFlops   0.000000 sec
     48x48 :     4608.00 MFlops   0.000001 sec
     49x49 :         inf MFlops   0.000000 sec
     50x50 :     5000.00 MFlops   0.000001 sec
     51x51 :         inf MFlops   0.000000 sec
     52x52 :         inf MFlops   0.000000 sec
     53x53 :         inf MFlops   0.000000 sec
     54x54 :         inf MFlops   0.000000 sec
     55x55 :     6050.00 MFlops   0.000001 sec
     56x56 :         inf MFlops   0.000000 sec
     57x57 :     6498.00 MFlops   0.000001 sec
     58x58 :     6728.00 MFlops   0.000001 sec
     59x59 :         inf MFlops   0.000000 sec
     60x60 :         inf MFlops   0.000000 sec
     61x61 :         inf MFlops   0.000000 sec
     62x62 :     7688.00 MFlops   0.000001 sec
     63x63 :     7938.00 MFlops   0.000001 sec
     64x64 :         inf MFlops   0.000000 sec
     65x65 :         inf MFlops   0.000000 sec
     66x66 :         inf MFlops   0.000000 sec
     67x67 :         inf MFlops   0.000000 sec
     68x68 :     9248.00 MFlops   0.000001 sec
     69x69 :         inf MFlops   0.000000 sec
     70x70 :         inf MFlops   0.000000 sec
     71x71 :    10082.00 MFlops   0.000001 sec
     72x72 :         inf MFlops   0.000000 sec
     73x73 :    10658.00 MFlops   0.000001 sec
     74x74 :         inf MFlops   0.000000 sec
     75x75 :         inf MFlops   0.000000 sec
     76x76 :    11552.00 MFlops   0.000001 sec
     77x77 :    11858.00 MFlops   0.000001 sec
     78x78 :         inf MFlops   0.000000 sec
     79x79 :         inf MFlops   0.000000 sec
     80x80 :         inf MFlops   0.000000 sec
     81x81 :    13122.00 MFlops   0.000001 sec
     82x82 :         inf MFlops   0.000000 sec
     83x83 :    13778.00 MFlops   0.000001 sec
     84x84 :    14112.00 MFlops   0.000001 sec
     85x85 :         inf MFlops   0.000000 sec
     86x86 :    14792.00 MFlops   0.000001 sec
     87x87 :         inf MFlops   0.000000 sec
     88x88 :         inf MFlops   0.000000 sec
     89x89 :         inf MFlops   0.000000 sec
     90x90 :    16200.00 MFlops   0.000001 sec
     91x91 :    16562.00 MFlops   0.000001 sec
     92x92 :         inf MFlops   0.000000 sec
     93x93 :    17298.00 MFlops   0.000001 sec
     94x94 :         inf MFlops   0.000000 sec
     95x95 :    18050.00 MFlops   0.000001 sec
     96x96 :       32.11 MFlops   0.000574 sec
     97x97 :      174.24 MFlops   0.000108 sec
     98x98 :     3841.60 MFlops   0.000005 sec
     99x99 :     4900.50 MFlops   0.000004 sec
    100x100 :     4000.00 MFlops   0.000005 sec
    101x101 :     5100.50 MFlops   0.000004 sec
    102x102 :     5202.00 MFlops   0.000004 sec
    103x103 :     4243.60 MFlops   0.000005 sec
    104x104 :     4326.40 MFlops   0.000005 sec
    105x105 :     4410.00 MFlops   0.000005 sec
    106x106 :     4494.40 MFlops   0.000005 sec
    107x107 :     3816.33 MFlops   0.000006 sec
    108x108 :     3888.00 MFlops   0.000006 sec
    109x109 :     3960.33 MFlops   0.000006 sec
    110x110 :     4033.33 MFlops   0.000006 sec
    111x111 :     3520.29 MFlops   0.000007 sec
    112x112 :     3584.00 MFlops   0.000007 sec
    113x113 :     3648.29 MFlops   0.000007 sec
    114x114 :     4332.00 MFlops   0.000006 sec
    115x115 :     3778.57 MFlops   0.000007 sec
    116x116 :     3844.57 MFlops   0.000007 sec
    117x117 :     3911.14 MFlops   0.000007 sec
    118x118 :     3978.29 MFlops   0.000007 sec
    119x119 :     3540.25 MFlops   0.000008 sec
    120x120 :     3600.00 MFlops   0.000008 sec
    121x121 :     4183.14 MFlops   0.000007 sec
    122x122 :     4252.57 MFlops   0.000007 sec
    123x123 :     4322.57 MFlops   0.000007 sec
    124x124 :     4393.14 MFlops   0.000007 sec
    125x125 :     3906.25 MFlops   0.000008 sec
    126x126 :     5292.00 MFlops   0.000006 sec
    127x127 :     4608.29 MFlops   0.000007 sec
    128x128 :     5461.33 MFlops   0.000006 sec
    129x129 :     4754.57 MFlops   0.000007 sec
    130x130 :     4828.57 MFlops   0.000007 sec
    131x131 :     4903.14 MFlops   0.000007 sec
    132x132 :     4356.00 MFlops   0.000008 sec
    133x133 :     5054.00 MFlops   0.000007 sec
